"Year","De Aar","Gouda","Karusa","Noupoort","Nxuba","Oyster Bay","Roggeveld","Soetwater"
1960,6.01611151668579,6.02423269255928,6.80559620185508,10.9633625377252,11.5807606155425,10.2823955716119,6.80559620185508,7.96431147012745
1961,6.19668661601101,5.89643827805403,6.50338432846353,8.64236488009199,8.89795951451883,8.46495082430491,6.50338432846353,8.36478910535591
1962,5.72826850609116,7.12735504073357,6.86206630941614,8.51529986647222,10.3456964020565,9.88748605864985,6.86206630941614,8.62641540816016
1963,5.52415039950936,4.93679612708224,6.54743317311914,8.12205067301355,9.18416585469653,8.95544745082316,6.54743317311914,7.75997994637947
1964,6.18357556552012,5.71234295429057,6.40506437529479,8.4440902906154,10.7330409105256,9.06699069956973,6.40506437529479,8.3996255074539
1965,5.92828792169741,6.13443656156977,7.02286449796714,7.6396296101926,11.8571377791858,9.326020865305,7.02286449796714,7.45624232957094
1966,6.86329527910063,5.10201514842764,6.6994695423264,8.28870722106501,10.6879247629841,9.64584025128871,6.6994695423264,8.16816517887992
1967,6.09088399688968,5.59306335773083,6.89436154529931,8.84199180291142,10.9937728507196,10.6316777347273,6.89436154529931,8.94688898746908
1968,7.96858642574232,6.36676569806907,7.00845642115116,9.51838823151494,9.99260483724051,10.7684989975779,7.00845642115116,8.35583032751181
1969,6.49508905853497,5.69644424122024,6.01339003661828,8.36959000342136,9.74419327340175,9.15449348618044,6.01339003661828,7.50536320934353
1970,7.57262355196008,5.81589832923772,7.02630525347859,8.94072506118498,10.9392853505163,10.2560269481821,7.02630525347859,8.596762620371
1971,6.21431315577348,5.16076484334074,6.24178381077124,9.35521841780564,10.4588340228696,9.39263929665137,6.24178381077124,7.609181365575
1972,7.44890859016504,7.5714881616813,6.5309386405254,8.5998254357339,10.8739918062215,9.8275655796583,6.5309386405254,7.88582501668621
1973,6.03762234587008,5.14240285374996,6.18693744778433,8.0349883177257,9.83073311819037,8.71780875454521,6.18693744778433,7.6890574915358
1974,6.32483910230666,5.88814010716996,6.93308297283612,8.933366907652,11.1743743143112,8.90402455132635,6.93308297283612,8.65891371116232
1975,5.60960125876034,4.97793729680384,6.30701232829486,9.33051202017007,10.3960011987565,9.253371563381,6.30701232829486,7.99815475575048
1976,6.3975067089913,6.589206527257,7.23271148880142,11.9880848886573,12.1242804051896,14.1240140964816,7.23271148880142,8.03034892671083
1977,6.5383197475379,6.21536937810697,6.57689802813942,9.55292520685969,9.97356519293995,9.12831528453779,6.57689802813942,8.41985572828592
1978,6.74638530361191,6.13788675731135,6.55545707491591,9.26725942980942,11.7401182634003,9.5695029395337,6.55545707491591,8.52337219006875
1979,7.11477667740799,5.45918695771752,6.41080498984285,8.16312118455098,10.67855680103,9.70582560177662,6.41080498984285,8.17590847835643
1980,6.18882545613224,4.82498304211862,5.78802041992452,7.77892732651876,9.07868206317691,8.29319984222221,5.78802041992452,7.34399333850496
1981,5.89882996732012,4.9448064163675,6.12409140753396,8.2934216600323,9.62783294963135,9.07489791663195,6.12409140753396,8.02098598399634
1982,5.33360402450741,4.99097242831241,5.98456508487718,8.56767369105056,9.77445853180216,9.9812118229366,5.98456508487718,8.44809973566987
1983,6.67051586624641,5.11528258365768,6.54409923680144,8.14485315455184,10.9861236512709,8.82878296418242,6.54409923680144,8.18962831813387
1984,7.73631522410187,5.54947986311272,7.01584153131187,8.96314512324373,12.4477562099296,8.42761602902312,7.01584153131187,8.07605421600713
1985,7.23344208297685,5.95572375089229,7.21772644017639,7.87595031500465,11.5271252326849,8.8718712245887,7.21772644017639,7.77077621077497
1986,5.83289473271558,4.98090194936238,6.63664735075857,8.22392712370392,10.2829614349263,8.96942620960957,6.63664735075857,8.22746737912111
1987,5.79145273450207,5.20173496634474,7.22725257485842,8.66887454099078,10.5217640424365,9.73449744646065,7.22725257485842,7.88190652954355
1988,6.3992842832952,6.38476172309856,6.20634972841272,8.41788337527179,9.71843590558153,9.3705505363182,6.20634972841272,7.23214915963114
1989,6.26935195934591,5.74512026263389,6.98669119392807,8.06586592175474,9.75788587081956,8.89525504232382,6.98669119392807,8.37210768771774
