"Year","De Aar","Gouda","Karusa","Noupoort","Nxuba","Oyster Bay","Roggeveld","Soetwater"
1960,8.13456544464859,8.39273576573446,9.3695667941341,15.2635573361024,16.1338827320732,14.1562310272927,9.48130219488424,10.964821607886
1961,8.3787264710958,8.21469736515873,8.95349827497179,12.032187334213,12.39630453714,11.6540740597813,9.06027191134694,11.5161769691999
1962,7.74536424700248,9.92956457995647,9.44731170126231,11.855283203375,14.4132374438681,13.6125415474014,9.55997423755084,11.8763695293401
1963,7.46937001188528,6.8777597975387,9.01414227734335,11.3077886193842,12.7950365101854,12.3293625676724,9.12163911491414,10.6835093167774
1964,8.36099862513243,7.95822264266628,8.81813682520498,11.756142867531,14.9528713318327,12.4829291162256,8.92329622837511,11.564137792417
1965,8.01581651869602,8.54626767596578,9.66868971478502,10.6361459981379,16.5189210638438,12.8395474590669,9.78399226225035,10.2653402388349
1966,9.28006810694026,7.1079367612104,9.22345750472002,11.539813398996,14.8900172017871,13.279857023454,9.33345050047271,11.2454760698518
1967,8.23566756551025,7.79204676811785,9.49177398799882,12.3101145642758,15.3161133232051,14.6371033065528,9.60496675279587,12.3175797507563
1968,10.7745655315326,8.86993994309588,9.64885347500554,13.2518161302323,13.9213234764229,14.8254712207095,9.76391946828967,11.5038430215317
1969,8.78220539445382,7.93607315000486,8.27890135355335,11.6524210941034,13.5752457727799,12.603398091978,8.37763018284023,10.3329671373997
1970,10.2391722128584,8.10249211952869,9.67342675583633,12.4475742846356,15.2402033749877,14.1199281713537,9.78878579419306,11.8355452183492
1971,8.40255984600297,7.18978463975138,8.59334121434133,13.0246456979399,14.5708565474298,12.9312640146348,8.69581985027658,10.4758982077135
1972,10.0718934896478,10.5483142397313,8.99143352115343,11.9729625073616,15.1492388501361,13.5300463605587,9.09865954876798,10.8567658187765
1973,8.16365088418589,7.16420340233356,8.51783178854244,11.1865775176643,13.6958098491669,12.0021948116659,8.61940994784548,10.5858672207505
1974,8.55200530473696,8.20313666371787,9.5450834984237,12.4373300189779,15.5677205303274,12.2585663762304,9.65891199800359,11.9211113876054
1975,7.58491069043665,6.93507613709394,8.68314421376897,12.9902486308374,14.483320205939,12.7395279359076,8.78669378226173,11.0114151635089
1976,8.65026136276425,9.17983619016333,9.95759539458922,16.6902098164174,16.8910941830168,19.4451580072006,10.0763432445558,11.0557383096739
1977,8.8406589101402,8.65902025021684,9.05470785293786,13.2998996540213,13.8947981557981,12.5673573981775,9.16268844935741,11.5919896366528
1978,9.12199061051958,8.55107435968418,9.02518913960266,12.902186274393,16.3558938493348,13.1747600532314,9.13281771491637,11.7345053508091
1979,9.6201036742613,7.60553517271297,8.82604018441879,11.3649683491904,14.8769661074225,13.3624415217692,8.93129383794525,11.2561366144243
1980,8.36809716023158,6.72198598780349,7.96862498476071,10.8300809038401,12.6480804354499,11.417616848561,8.0636536585151,10.1108020634609
1981,7.97598553200588,6.88891943309881,8.431308851476,11.5463769974575,13.4131369199419,12.4938153334244,8.53185519412629,11.0428479302639
1982,7.21172652349665,6.95323619498118,8.23921676124645,11.9281997808951,13.6174101992886,13.7415779731266,8.33747233772214,11.6308744170407
1983,9.01940526086531,7.1264204559575,9.0095522990241,11.3395349912813,15.3054567445056,12.154977938784,9.11699439947863,11.2750253276813
1984,10.4605046492815,7.73132787282536,9.65902088442574,12.478788239436,17.341748580737,11.6026735876165,9.77420812766636,11.1186628130099
1985,9.78055474052535,8.29729166947447,9.93696481207431,10.9651595298162,16.0591599218845,12.2142994621223,10.0554666350414,10.6983730138556
1986,7.88683251688784,6.93920638020222,9.13696740119488,11.4496243965885,14.3258374330675,12.3486077462378,9.24592897184642,11.3271200448569
1987,7.83079754385089,7.24686268341442,9.95007986511975,12.0690949643034,14.6585282979932,13.4019153247851,10.068738089737,10.8513710633537
1988,8.65266487447903,8.89501133236884,8.54455753814313,11.7196567298544,13.5393615708959,12.9008534364573,8.6464544114708,9.95682121102544
1989,8.47697946877981,8.00388676324005,9.61888831924143,11.2295663432073,13.5943217875919,12.2464930033893,9.73359696743572,11.5262527868422
1990,7.70574851026545,8.29839260617103,10.6154833191863,12.6473048484703,14.7429825386309,13.2881508293986,10.7420767155393,12.8435299450458
1991,7.91353475842953,7.06553389056398,9.47786409715525,11.4096484511361,12.3231566815051,13.888318057264,9.59089098158004,10.7796173052713
1992,8.33006312663303,7.56551345186013,9.69621323265835,11.3360136696566,13.5138894799623,13.9314419522295,9.81184400781736,12.0179630819413
1993,7.56670540646799,7.15116970049481,8.18180017087619,11.4120254080195,13.6483060972611,11.9608192310304,8.27937103418683,10.3662025249992
1994,9.56494171759197,7.48312226590385,9.47053698465998,12.3553295825802,14.4000158624073,13.2612180479333,9.58347649067454,11.5799978357614
1995,8.03146777921973,7.22590705074874,8.53092438884859,13.0037982467707,15.0181293645431,12.3516713818357,8.63265868204493,10.5333719389146
1996,9.13608233749561,7.53627072192831,8.99472182812875,12.8578746451562,15.0990576123607,13.0702976309052,9.10198706996801,11.0928287895285
1997,10.0838545775435,9.39721892735467,10.852389012288,11.6423664433883,14.5961854254978,12.1232482996093,10.9818075928934,10.4945272009053
1998,9.05939707112519,8.31855824353515,9.20926375631018,13.9905410105748,14.1624274333997,12.8754183258125,9.31908748658864,12.2177768514095
1999,9.43948536020382,7.68459444345022,9.51299285113195,11.5779775531757,15.108011086614,11.3836023142267,9.62643865838313,11.7395799214559
2000,7.97448990423198,12.6189579202708,15.9070856038026,11.8526676149125,14.5377854692155,13.1467426598252,16.0967832305724,17.4021876683066
2001,8.37396434144994,7.25856683914014,8.14470571503846,12.4288884035044,14.6241680564085,13.5935052753343,8.24183421383218,12.7067101790292
2002,9.25857927511099,8.24394072566493,9.35719365120879,11.654726907366,13.5638419815007,13.5613253233891,9.46878149784957,10.8599220575677
2003,8.73118851028742,8.27286085403007,14.8781145278342,11.1188333660503,13.9146643546546,14.0182200968485,15.0555413102778,16.5968721372164
2004,7.62834918353881,8.54944313644285,9.3743008036575,11.4748462141315,14.5676563498334,15.3606251766949,9.48609265914699,11.9408332476671
2005,8.07262284033487,7.55462597141894,9.68062623092887,11.4369389678428,13.9031429395365,12.720198950461,9.79607112557461,11.5165364122152
2006,10.7169987919338,8.83025738311983,10.4747372802258,12.8607473868958,14.4190944173732,13.0709456192707,10.5996522302415,12.4467345141829
2007,8.55107870975828,10.1617150658032,10.0145101070367,10.6507705872708,13.5844805836691,12.2457484476846,10.1339366850965,11.2115370577613
2008,8.3875567633556,7.62426942774602,8.02096121836901,11.4972586151315,14.7589238495094,11.5009106785198,8.11661402023567,10.1776647904474
2009,8.8251043428242,7.14058816880916,8.51072969092976,11.4022370670739,12.4547942652889,12.0365736749978,8.6122231552047,10.7103582568483
2010,7.98414350190812,7.53914245804231,9.16855042824863,10.2160461531974,13.1111189644949,12.5191407506754,9.27788863767785,10.7748808105591
2011,7.65353553256622,8.04525230808016,8.54649194530488,10.8941590662983,14.5810398510302,12.5866559737344,8.64841188712271,10.2457925408087
2012,9.83183148414903,7.91244657131272,8.14751545679203,12.0285575176527,14.9815492952467,14.1806377993336,8.24467746275078,9.87693668005583
2013,8.02562294179983,8.67939211049331,7.96093508142095,10.5995574731731,12.5077014164383,12.9139297586754,8.05587205035587,11.7256068194591
2014,10.2065830013695,12.1761196258964,9.27891408403776,10.7026947911516,14.4937439737229,11.8577529729426,9.38956841912987,10.9865108598881
2015,8.38004115128422,6.981036214304,8.36017230388672,11.0789689197154,13.0877096990491,12.9996275903622,8.45987031802541,11.2723262990017
2016,7.91987004628959,7.60502365008501,9.21273436885111,11.7701027361441,12.7016390478142,12.3519830110601,9.32259948741268,11.1530079670812
2017,10.2088865956394,7.01118781055809,9.60962706165406,13.3392496472254,15.0752941937085,16.7998787387142,9.72422526607323,10.5638122154504
2018,8.96061262170011,7.82836929969099,9.83258844792452,11.4948626244318,14.0445983812561,13.588389075424,9.949845545801,12.7766103966508
2019,8.47305556370462,12.7274995894529,14.9466476937956,13.3824925929081,15.8320293217304,14.5612300888855,15.1248917585033,16.9784923502618
2020,9.19634004590925,10.1048710935312,10.4836322908997,11.3999120198401,13.5409336223229,12.2689756313971,10.6086533170664,12.2440359224534
2021,8.14157101841082,10.2301320741784,12.6303734800352,12.1459315214234,14.5699783455349,12.652466956674,12.7809951548067,14.3716467044503
2022,7.74099666710234,10.374071350957,9.52244297187076,10.8639413548166,13.2630536814032,10.9596285229914,9.63600147515699,11.1910883417245
2023,8.38576680729978,8.74404582385473,9.48406066470026,13.3357543676869,13.3784661416368,14.343260399007,9.59716144538655,12.1732568853857
2024,8.85587473427596,9.24164496825459,8.52855758151832,11.4935301836598,14.7616353316914,14.0333732521131,8.63026364969942,11.0199821536907
2025,8.82386805174933,7.2071025260872,7.68127734461883,10.435575519173,13.1884547817307,12.6478000657739,7.77287929604643,9.54091431830147
